date,algorithm,n,running time
2024-05-10,Enumeration,100,847694
2024-05-10,Enumeration,200,667583
2024-05-10,Enumeration,300,985375
2024-05-10,Enumeration,400,2408319
2024-05-10,Enumeration,500,4914638
2024-05-10,Enumeration,600,8688694
2024-05-10,Enumeration,700,14019639
2024-05-10,Enumeration,800,21724375
2024-05-10,Enumeration,900,30438611
2024-05-10,Enumeration,1000,42431569
2024-05-10,Enumeration,1000,42261875
2024-05-10,Enumeration,2000,356213930
2024-05-10,Enumeration,3000,1212085888
2024-05-10,Enumeration,4000,2760751666
2024-05-10,Enumeration,5000,5378044208
2024-05-10,Enumeration,6000,9228503402
2024-05-10,Enumeration,7000,14748111263
2024-05-10,Enumeration,8000,21983948055
2024-05-10,Enumeration,9000,31333175902
2024-05-10,Enumeration,10000,42780403125
