date,algorithm,n,running time
2024-05-10,Kadane,100,3513
2024-05-10,Kadane,200,6194
2024-05-10,Kadane,300,9708
2024-05-10,Kadane,400,12666
2024-05-10,Kadane,500,15111
2024-05-10,Kadane,600,16403
2024-05-10,Kadane,700,19166
2024-05-10,Kadane,800,22070
2024-05-10,Kadane,900,24555
2024-05-10,Kadane,1000,27222
2024-05-10,Kadane,1000,27250
2024-05-10,Kadane,2000,54347
2024-05-10,Kadane,3000,81264
2024-05-10,Kadane,4000,109639
2024-05-10,Kadane,5000,148597
2024-05-10,Kadane,6000,80999
2024-05-10,Kadane,7000,15153
2024-05-10,Kadane,8000,18986
2024-05-10,Kadane,9000,19180
2024-05-10,Kadane,10000,19777
